Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,MA20,MA50,MA200,DailyReturn
2022-04-01,139.74,139.99,137.85,139.06,"23,480,000.00",135,134.35,137.96,0.01
2022-04-04,142.67,143.06,139.87,139.87,"19,076,000.00",135.86,134.62,138.05,0.02
2022-04-05,140.1,142.61,139.99,142.42,"19,256,000.00",136.54,134.83,138.12,-0.02
2022-04-06,136.24,138.9,135.49,138.22,"23,574,000.00",136.71,135.04,138.17,-0.03
2022-04-07,135.54,136.77,133.94,135.69,"19,448,000.00",136.89,135.18,138.22,-0.01
2022-04-08,133.1,135.32,132.84,135.32,"16,434,000.00",137.07,135.28,138.26,-0.02
2022-04-11,128.91,132.04,128.74,132,"24,188,000.00",137.22,135.21,138.27,-0.03
2022-04-12,127.5,131.52,126.71,131.52,"23,004,000.00",137.16,135.06,138.28,-0.01
2022-04-13,129.4,129.77,127.57,127.75,"19,542,000.00",136.99,134.91,138.3,0.01
2022-04-14,126.39,129.82,126.25,129.76,"23,484,000.00",136.62,134.5,138.31,-0.02
2022-04-18,127.09,127.84,125.72,126.54,"14,918,000.00",136.18,134.21,138.32,0.01
2022-04-19,129.64,130.01,126.59,127.21,"22,720,000.00",135.89,133.96,138.33,0.02
2022-04-20,127.37,131.03,127.02,130.39,"22,610,000.00",135.29,133.75,138.32,-0.02
2022-04-21,124.09,129.42,123.8,128.47,"30,158,000.00",134.62,133.46,138.29,-0.03
2022-04-22,118.8,124.6,118.33,124.15,"46,410,000.00",133.54,133.03,138.25,-0.04
2022-04-25,122.41,122.44,117.96,118.62,"34,522,000.00",132.63,132.73,138.22,0.03
2022-04-26,118.69,121.92,118.35,121.92,"49,394,000.00",131.52,132.44,138.16,-0.03
2022-04-27,114.24,116.7,112.36,113.6,"62,238,000.00",130.12,132.03,138.08,-0.04
2022-04-28,118.6,119.62,114.36,116.32,"36,790,000.00",128.96,131.69,138.02,0.04
2022-04-29,114.19,118.15,113.91,116.78,"33,694,000.00",127.74,131.25,137.94,-0.04
2022-05-02,116.36,116.54,112.63,113.13,"30,280,000.00",126.57,130.95,137.86,0.02
2022-05-03,117.33,118.49,115.83,115.97,"21,216,000.00",125.3,130.7,137.81,0.01
2022-05-04,121.74,122.31,114.95,117.2,"33,232,000.00",124.38,130.57,137.77,0.04
2022-05-05,115.95,120.41,114.4,119.4,"43,090,000.00",123.37,130.35,137.69,-0.05
2022-05-06,114.87,116.7,113.37,114.73,"35,310,000.00",122.33,130.01,137.6,-0.01
2022-05-09,112.32,114.78,111.79,112.53,"34,520,000.00",121.3,129.59,137.48,-0.02
2022-05-10,113.81,115.9,112.61,115.25,"31,158,000.00",120.54,129.18,137.35,0.01
2022-05-11,113.19,115.88,112.88,112.94,"36,502,000.00",119.82,128.78,137.24,-0.01
2022-05-12,112.39,114.08,109.37,111.18,"41,464,000.00",118.97,128.35,137.12,-0.01
2022-05-13,115.72,117.28,113.23,114.06,"29,738,000.00",118.44,128,137.02,0.03
2022-05-16,114.01,115.81,113.56,114.6,"23,282,000.00",117.79,127.65,136.92,-0.01
2022-05-17,115.91,116.43,114.55,116.43,"21,576,000.00",117.1,127.46,136.83,0.02
2022-05-18,111.64,114.91,111.38,114.45,"27,982,000.00",116.31,127.17,136.71,-0.04
2022-05-19,109.99,112.82,109.72,111.08,"29,192,000.00",115.61,126.71,136.58,-0.01
2022-05-20,108.57,111.79,105.65,111.32,"37,586,000.00",115.1,126.24,136.45,-0.01
2022-05-23,110.91,111.24,108.41,109.36,"31,558,000.00",114.52,125.87,136.32,0.02
2022-05-24,105.21,105.67,101.51,105.65,"60,386,000.00",113.85,125.45,136.16,-0.05
2022-05-25,105.12,105.82,103.5,104.43,"37,900,000.00",113.39,124.98,136,0
2022-05-26,107.56,108.21,104.77,105.33,"30,288,000.00",112.84,124.48,135.85,0.02
2022-05-27,112.03,112.1,108.81,109.04,"29,924,000.00",112.73,124.04,135.73,0.04
2022-05-31,113.26,115.64,111.81,112.31,"51,302,000.00",112.58,123.59,135.61,0.01
2022-06-01,113.36,116.6,112.78,114.15,"28,630,000.00",112.38,123.15,135.48,0
2022-06-02,116.95,117.1,112.54,113.41,"27,472,000.00",112.14,122.7,135.39,0.03
2022-06-03,113.79,115.57,112.9,115.2,"25,052,000.00",112.03,122.23,135.28,-0.03
2022-06-06,116.22,118.59,115.74,115.95,"23,786,000.00",112.1,121.74,135.18,0.02
2022-06-07,116.43,116.95,114.34,114.86,"26,414,000.00",112.3,121.26,135.07,0
2022-06-08,116.44,117.84,115.9,116.08,"22,544,000.00",112.43,120.77,134.95,0
2022-06-09,114.14,117.55,114.09,115.55,"23,142,000.00",112.48,120.21,134.82,-0.02
2022-06-10,110.67,112.73,110.11,112.01,"31,324,000.00",112.4,119.59,134.66,-0.03
2022-06-13,106.15,108.48,105.86,106.72,"36,756,000.00",111.92,118.94,134.49,-0.04
2022-06-14,106.47,107.72,105.63,106.16,"25,480,000.00",111.54,118.27,134.3,0
2022-06-15,109.64,111.3,107.38,108.16,"33,192,000.00",111.23,117.61,134.13,0.03
2022-06-16,105.91,108.55,105.07,107.41,"35,314,000.00",110.94,116.93,133.93,-0.03
2022-06-17,107.13,108.51,104.91,105.81,"43,516,000.00",110.8,116.34,133.75,0.01
2022-06-21,111.25,111.91,108.55,108.96,"39,010,000.00",110.93,115.86,133.59,0.04
2022-06-22,111.27,113,109.97,110.41,"23,922,000.00",110.95,115.42,133.42,0
2022-06-23,111.92,112.43,110.27,112.18,"24,710,000.00",111.29,115.08,133.26,0.01
2022-06-24,117.73,117.83,112.83,112.83,"39,122,000.00",111.92,114.89,133.13,0.05
2022-06-27,115.83,118.44,115.21,118.13,"32,840,000.00",112.33,114.61,132.99,-0.02
2022-06-28,111.81,117.06,111.68,115.56,"28,232,000.00",112.32,114.32,132.84,-0.03
2022-06-29,111.49,112.89,110.8,111.39,"18,628,000.00",112.23,114.01,132.69,0
2022-06-30,108.63,110.57,106.58,109.75,"38,046,000.00",111.99,113.59,132.52,-0.03
2022-07-01,108.34,109.06,106.38,107.6,"31,028,000.00",111.56,113.21,132.34,0
2022-07-05,113.11,113.28,105.53,106.78,"36,398,000.00",111.53,112.99,132.19,0.04
2022-07-06,114.43,115.56,111.49,113.32,"28,852,000.00",111.44,112.9,132.06,0.01
2022-07-07,118.5,119.05,114.75,115.22,"32,184,000.00",111.54,112.82,131.96,0.04
2022-07-08,119.35,119.62,116.72,116.75,"29,082,000.00",111.69,112.84,131.86,0.01
2022-07-11,115.73,117.99,115.44,117.84,"26,718,000.00",111.77,112.87,131.74,-0.03
2022-07-12,114.07,117.05,113.84,116.04,"24,970,000.00",111.94,112.78,131.61,-0.01
2022-07-13,111.42,114.37,111.06,111.87,"38,958,000.00",112.2,112.72,131.46,-0.02
2022-07-14,110.68,111.23,108.58,110.07,"32,366,000.00",112.41,112.61,131.31,-0.01
2022-07-15,112,113.23,111.06,112.2,"34,330,000.00",112.53,112.5,131.19,0.01
2022-07-18,109.16,114.02,108.56,112.67,"33,354,000.00",112.69,112.25,131.07,-0.03
2022-07-19,113.84,114.03,109.75,110.97,"30,992,300.00",113.03,112.21,130.98,0.04
2022-07-20,113.92,115.54,112.49,113.28,"26,780,100.00",113.16,112.19,130.87,0
2022-07-21,114.26,114.43,111.15,114.31,"27,267,800.00",113.31,112.23,130.77,0
2022-07-22,107.62,112.41,106.87,111.05,"44,455,300.00",113.1,112.1,130.64,-0.06
